group,alone_2010,alone_2000,combo_2010,combo_2000
US Total,"309,349,689","281,421,906","309,349,689","281,421,906"
Asian American,14314103,10019410,17941286,12275972
Asian Indian,2843391,1678765,3183063,1899599
Bangladeshi,128792,41280,147300,57412
Burmese,91085,,100200,
Cambodian,231616,171937,276667,206052
Chinese,3137061,2314537,3794673,2734841
Filipino,2555923,1850314,3416840,2364815
Hmong,247595,169428,260073,186310
Japanese,763325,796700,1304286,1148932
Korean,1423784,1076872,1706822,1228427
Laotian,191200,168707,232130,198203
Nepalese,51907,,59490,
Pakistani,363699,153533,409163,204309
Taiwanese,196691,118048,230382,144795
Thai,166620,112989,237583,150283
Vietnamese,1548449,1122528,1737433,1223736
Pacific Islander,523930,389917,1271942,900711
Native Hawaiian,156146,140652,527077,401162
Samoan,109637,91029,184440,133281
Tongan,41219,27713,57183,36840
Fijian,24629,9796,32304,13581